Time resolution is 1 ps
                 955Inst = 56, Data = 4, clk = 1, Mode = 0, En = 11, Operand = 6, Opcode = 5, Store = z
                 960Inst = 56, Data = 4, clk = 0, Mode = 0, En = 11, Operand = 6, Opcode = 5, Store = z
                 965Inst = 56, Data = 4, clk = 1, Mode = 0, En = 11, Operand = 6, Opcode = 5, Store = z
                 970Inst = 56, Data = 4, clk = 0, Mode = 0, En = 11, Operand = 6, Opcode = 5, Store = z
                 975Inst = 56, Data = 4, clk = 1, Mode = 0, En = 11, Operand = 6, Opcode = 5, Store = z
                 980Inst = 56, Data = 4, clk = 0, Mode = 0, En = 11, Operand = 6, Opcode = 5, Store = z
                 985Inst = 56, Data = 4, clk = 1, Mode = 0, En = 11, Operand = 6, Opcode = 5, Store = z
                 990Inst = 56, Data = 4, clk = 0, Mode = 0, En = 11, Operand = 6, Opcode = 5, Store = z
                 995Inst = 56, Data = 4, clk = 1, Mode = 0, En = 11, Operand = 6, Opcode = 5, Store = z
                1000Inst = 56, Data = 4, clk = 0, Mode = 0, En = 11, Operand = 6, Opcode = 5, Store = z
